reference,fonction_publique,procedure_type,famille_procedure_deduite,typologie_marche_verifiee,seuil_formalise_applicable,plateforme_source,duree,renouvellements,localisation,cpv_principal,cpv_secondaires,ccag_type,verification_requise,raisons_verification,notes_verification,qualite_preuve_procedure,conflit_detecte,type_conflit,categorie_regime,preuve_regime,preuve_typologie,preuve_joue_detectee,source_preuve_joue,justification_juridique_courte,code_couleur_procedure,niveau_procedure_deduit,url_provenance,audit_verdict,audit_contamination_effective,audit_risque,audit_zones_annexes,audit_notes,source_procedure_evidence,seuil_applicable_ht,montant_estime_ht_parsed,ratio_montant_sur_seuil,priorite_juridique,niveau_confiance,procedure_verdict,verdict_final,notes_consolidation
13/joue/003036002026,hors_fonction_publique,formalisee,JOUE_PROUVE,indetermine,,FRANCE_MARCHES,96.0,3 reconduction(s),Rhône,72600000,72600000|72263000|48820000,,True,ccag_type_manquant | fonction_publique_inconnue,,EXPLICITE,non,,marches_ordinaires,Aucun marqueur défense/sécurité détecté,Aucun indice typologique clair,oui,reference,Publication JOUE avérée.,JOUE_PROUVE,JOUE_PROUVE,canonical,NON_AUDITE,inconnu,inconnu,,Fichier non audité individuellement,Badge/champ explicite: FORMALISEE,216000,,,preuve_joue,fort,Procédure formalisée confirmée par preuve de publication JOUE,JOUE_PROUVE - procédure formalisée confirmée par preuve de publication joue,
13/joue/003085442026,etat,formalisee,JOUE_PROUVE,fournitures,140000,FRANCE_MARCHES,36.0,2 reconduction(s) — Les modalités de reconduction sont précisées dans les documents de la consultation,Seine-et-Marne,98541460,98541460|48822000,fournitures_courantes_services,True,fonction_publique_inconnue,,EXPLICITE,non,,marches_ordinaires,Aucun marqueur défense/sécurité détecté,type_marche='fournitures'; CCAG fournitures; titre contient 'fourniture'; titre contient 'prestation',oui,reference,Publication JOUE avérée.,JOUE_PROUVE,JOUE_PROUVE,canonical,NON_AUDITE,inconnu,inconnu,,Fichier non audité individuellement,Badge/champ explicite: FORMALISEE,216000,,,preuve_joue,fort,Procédure formalisée confirmée par preuve de publication JOUE,JOUE_PROUVE - procédure formalisée confirmée par preuve de publication joue,
13/joue/003107212026,hospitaliere,MAPA,JOUE_PROUVE,fournitures,216000,FRANCE_MARCHES,,"3 reconduction(s) — La tranche 1 est reconductible tacitement 1 fois 12 mois ; les tranches 2, 3, 4, 5 sont reconductibles tacitement 3 fois 12 mois",Nièvre,72500000,72500000,fournitures_courantes_services,False,,,EXPLICITE,non,,marches_ordinaires,Aucun marqueur défense/sécurité détecté,type_marche='fournitures'; CCAG fournitures; titre contient 'serveur'; titre contient 'maintenance',oui,reference,Publication JOUE avérée.,JOUE_PROUVE,JOUE_PROUVE,canonical,NON_AUDITE,inconnu,inconnu,,Fichier non audité individuellement,Badge/champ explicite: MAPA,216000,,,source_explicite,fort,Procédure source MAPA cohérente avec le montant et le seuil applicable,MAPA_SOUS_SEUIL - procédure source mapa cohérente avec le montant et le seuil applicable,
2026-005,etat,inconnu,INDETERMINE,services,140000,PLACE_NUMERIC,,,(91) Essonne,72212440,72212440|79211100|95184411,,True,ccag_type_manquant,,ABSENTE,non,,marches_ordinaires,Aucun marqueur défense/sécurité détecté,type_marche='services'; titre contient 'assistance',non,,Aucune preuve de procédure détectée.,INDETERMINE,INDETERMINE,fallback_place,PROPRE,non,faible,,Structure PLACE sans zones annexes détectées,Champ procedure_type vide ou non renseigné,216000,,,indetermine,faible,"Procédure source inconnue, aucune preuve de formalisation","INDETERMINE - procédure source inconnue, aucune preuve de formalisation",
26_AMOE_AST,etat,formalisee,FORMALISEE_SANS_PREUVE_JOUE,services,140000,PLACE_NUMERIC,,,Ministère de la Justice,72267100,72267100|72227000|09267845,prestations_intellectuelles,False,,,EXPLICITE,non,,marches_ordinaires,Aucun marqueur défense/sécurité détecté,type_marche='services'; CCAG prestations/services; titre contient 'assistance',non,,Procédure formalisée explicitement qualifiée.,FORMALISEE_SANS_PREUVE_JOUE,FORMALISEE_SANS_PREUVE_JOUE,fallback_place,PROPRE,non,faible,,Structure isolée,Badge/champ explicite: FORMALISEE,140000,,,source_explicite,moyen,Procédure formalisée déclarée mais sans preuve explicite de publication JOUE,FORMALISEE_SANS_PREUVE_JOUE - procédure formalisée déclarée mais sans preuve explicite de publication joue,
37AO26154015290520267275,etat,MAPA,MAPA_SOUS_SEUIL,services,140000,FRANCE_MARCHES,,,Paris (75),29052026,29052026|72267100|72267000,,True,ccag_type_manquant,,EXPLICITE,non,,marches_ordinaires,Aucun marqueur défense/sécurité détecté,type_marche='services'; titre contient 'assistance',non,,Procédure explicitement qualifiée MAPA dans procedure_type.,MAPA_SOUS_SEUIL,MAPA_SOUS_SEUIL,canonical,NON_AUDITE,inconnu,inconnu,,Fichier non audité individuellement,Badge/champ explicite: MAPA,140000,,,source_explicite,fort,Procédure source MAPA cohérente avec le montant et le seuil applicable,MAPA_SOUS_SEUIL - procédure source mapa cohérente avec le montant et le seuil applicable,
37AO26181552260520267275,etat,MAPA,MAPA_SOUS_SEUIL,services,140000,FRANCE_MARCHES,,,Paris (75),26052026,26052026|72600000|72220000,tic,False,,,EXPLICITE,non,,marches_ordinaires,Aucun marqueur défense/sécurité détecté,type_marche='services'; CCAG prestations/services; titre contient 'service',non,,Procédure explicitement qualifiée MAPA dans procedure_type.,MAPA_SOUS_SEUIL,MAPA_SOUS_SEUIL,canonical,NON_AUDITE,inconnu,inconnu,,Fichier non audité individuellement,Badge/champ explicite: MAPA,216000,,,source_explicite,fort,Procédure source MAPA cohérente avec le montant et le seuil applicable,MAPA_SOUS_SEUIL - procédure source mapa cohérente avec le montant et le seuil applicable,
3/boamp/2640079,etat,formalisee,FORMALISEE_SANS_PREUVE_JOUE,services,140000,FRANCE_MARCHES,48.0,,Seine-Saint-Denis,72000000,72000000|48442000,,True,ccag_type_manquant | fonction_publique_inconnue,,EXPLICITE,non,,marches_ordinaires,Aucun marqueur défense/sécurité détecté,type_marche='services'; titre contient 'maintenance',non,,Procédure formalisée explicitement qualifiée.,FORMALISEE_SANS_PREUVE_JOUE,FORMALISEE_SANS_PREUVE_JOUE,canonical,PROPRE_AVEC_RISQUE_STRUCTUREL,non,faible,avis_similaires,Structure BOAMP - conteneur main isolé,Badge/champ explicite: FORMALISEE,216000,,,source_explicite,moyen,Procédure formalisée déclarée mais sans preuve explicite de publication JOUE,FORMALISEE_SANS_PREUVE_JOUE - procédure formalisée déclarée mais sans preuve explicite de publication joue,
3/boamp/2641049,etat,formalisee,FORMALISEE_SANS_PREUVE_JOUE,services,140000,FRANCE_MARCHES,48.0,,Seine-Saint-Denis (93),72220000,72220000,prestations_intellectuelles,False,,,EXPLICITE,non,,marches_ordinaires,Aucun marqueur défense/sécurité détecté,type_marche='services'; CCAG prestations/services; titre contient 'assistance',non,,Procédure formalisée explicitement qualifiée.,FORMALISEE_SANS_PREUVE_JOUE,FORMALISEE_SANS_PREUVE_JOUE,canonical,PROPRE_AVEC_RISQUE_STRUCTUREL,non,faible,avis_similaires,Extraction ciblée sur bloc principal,Badge/champ explicite: FORMALISEE,140000,400000,2.86,source_explicite,moyen,Procédure formalisée déclarée mais sans preuve explicite de publication JOUE,FORMALISEE_SANS_PREUVE_JOUE - procédure formalisée déclarée mais sans preuve explicite de publication joue,
3/boamp/2641974,territoriale,formalisee,FORMALISEE_SANS_PREUVE_JOUE,services,216000,FRANCE_MARCHES,48.0,,Paris,72250000,72250000|79999100|72311100|79995200|60181000|45510000|79952000|22112000|30237380|22111000,,True,ccag_type_manquant,,EXPLICITE,non,,marches_ordinaires,Aucun marqueur défense/sécurité détecté,titre contient 'service',non,,Procédure formalisée explicitement qualifiée.,FORMALISEE_SANS_PREUVE_JOUE,FORMALISEE_SANS_PREUVE_JOUE,canonical,PROPRE_AVEC_RISQUE_STRUCTUREL,non,faible,avis_similaires,Structure isolée correctement,Badge/champ explicite: FORMALISEE,216000,,,source_explicite,moyen,Procédure formalisée déclarée mais sans preuve explicite de publication JOUE,FORMALISEE_SANS_PREUVE_JOUE - procédure formalisée déclarée mais sans preuve explicite de publication joue,
3/boamp/2642071,territoriale,formalisee,FORMALISEE_SANS_PREUVE_JOUE,services,216000,FRANCE_MARCHES,3.0,"1 reconduction(s) — L'accord-cadre est conclu pour une période initiale de 24 mois à compter de sa notification. L'accord-cadre est reconduit tacitement jusqu'à son terme. Le nombre de périodes de reconduction est fixé à 1. La durée de chaque période de reconduction est de 24 mois. La durée maximale du contrat, toutes périodes confondues, est de 48 mois.",Gironde,72220000,72220000|45421000,travaux,False,,,EXPLICITE,non,,marches_ordinaires,Aucun marqueur défense/sécurité détecté,type_marche='services'; CCAG travaux; titre contient 'assistance',non,,Procédure formalisée explicitement qualifiée.,FORMALISEE_SANS_PREUVE_JOUE,FORMALISEE_SANS_PREUVE_JOUE,canonical,PROPRE_AVEC_RISQUE_STRUCTUREL,non,faible,avis_similaires,Sélecteurs sur main container,Badge/champ explicite: FORMALISEE,216000,,,source_explicite,moyen,Procédure formalisée déclarée mais sans preuve explicite de publication JOUE,FORMALISEE_SANS_PREUVE_JOUE - procédure formalisée déclarée mais sans preuve explicite de publication joue,
3/boamp/2642106,hors_fonction_publique,formalisee,FORMALISEE_SANS_PREUVE_JOUE,indetermine,,FRANCE_MARCHES,48.0,3 reconduction(s) — Le lot 1 comporte trois reconductions.,Seine-Saint-Denis,72000000,72000000,,True,ccag_type_manquant | fonction_publique_inconnue,,EXPLICITE,non,,marches_ordinaires,Aucun marqueur défense/sécurité détecté,Aucun indice typologique clair,non,,Procédure formalisée explicitement qualifiée.,FORMALISEE_SANS_PREUVE_JOUE,FORMALISEE_SANS_PREUVE_JOUE,canonical,PROPRE_AVEC_RISQUE_STRUCTUREL,non,faible,avis_similaires,Extraction non contaminée,Badge/champ explicite: FORMALISEE,216000,,,source_explicite,moyen,Procédure formalisée déclarée mais sans preuve explicite de publication JOUE,FORMALISEE_SANS_PREUVE_JOUE - procédure formalisée déclarée mais sans preuve explicite de publication joue,
3/boamp/2642682,inconnue,formalisee,FORMALISEE_SANS_PREUVE_JOUE,services,,FRANCE_MARCHES,48.0,,Val-de-Marne,72250000,72250000,,True,ccag_type_manquant | fonction_publique_inconnue,,EXPLICITE,non,,marches_ordinaires,Aucun marqueur défense/sécurité détecté,type_marche='fournitures'; titre contient 'serveur'; titre contient 'prestation',non,,Procédure formalisée explicitement qualifiée.,FORMALISEE_SANS_PREUVE_JOUE,FORMALISEE_SANS_PREUVE_JOUE,canonical,PROPRE_AVEC_RISQUE_STRUCTUREL,non,faible,avis_similaires,Isolation structurelle,Badge/champ explicite: FORMALISEE,216000,,,source_explicite,moyen,Procédure formalisée déclarée mais sans preuve explicite de publication JOUE,FORMALISEE_SANS_PREUVE_JOUE - procédure formalisée déclarée mais sans preuve explicite de publication joue,
3/boamp/2643374,etat,MAPA,MAPA_SOUS_SEUIL,services,140000,FRANCE_MARCHES,,,Paris (75),72000000,72000000,tic,True,date_limite_manquante | fonction_publique_inconnue,,EXPLICITE,non,,marches_ordinaires,Aucun marqueur défense/sécurité détecté,type_marche='services'; CCAG prestations/services; titre contient 'maintenance',non,,Procédure explicitement qualifiée MAPA dans procedure_type.,MAPA_SOUS_SEUIL,MAPA_SOUS_SEUIL,canonical,PROPRE_AVEC_RISQUE_STRUCTUREL,non,faible,avis_similaires,Sélecteurs ciblés,Badge/champ explicite: MAPA,216000,,,source_explicite,fort,Procédure source MAPA cohérente avec le montant et le seuil applicable,MAPA_SOUS_SEUIL - procédure source mapa cohérente avec le montant et le seuil applicable,
3/boamp/2643609,hospitaliere,formalisee,FORMALISEE_SANS_PREUVE_JOUE,services,216000,FRANCE_MARCHES,4.0,,Rhône (69),72200000,72200000|72261000|72262000,,True,ccag_type_manquant | fonction_publique_inconnue,,EXPLICITE,non,,marches_ordinaires,Aucun marqueur défense/sécurité détecté,titre contient 'service',non,,Procédure formalisée explicitement qualifiée.,FORMALISEE_SANS_PREUVE_JOUE,FORMALISEE_SANS_PREUVE_JOUE,canonical,NON_AUDITE,inconnu,inconnu,,Fichier non audité individuellement,Badge/champ explicite: FORMALISEE,216000,900000,4.17,source_explicite,moyen,Procédure formalisée déclarée mais sans preuve explicite de publication JOUE,FORMALISEE_SANS_PREUVE_JOUE - procédure formalisée déclarée mais sans preuve explicite de publication joue,
3/boamp/2644098,hors_fonction_publique,formalisee,FORMALISEE_SANS_PREUVE_JOUE,services,,FRANCE_MARCHES,12.0,2 reconduction(s),Paris,72600000,72600000,prestations_intellectuelles,True,fonction_publique_inconnue,,EXPLICITE,non,,marches_ordinaires,Aucun marqueur défense/sécurité détecté,type_marche='services'; CCAG prestations/services; titre contient 'prestation',non,,Procédure formalisée explicitement qualifiée.,FORMALISEE_SANS_PREUVE_JOUE,FORMALISEE_SANS_PREUVE_JOUE,canonical,PROPRE_AVEC_RISQUE_STRUCTUREL,non,faible,avis_similaires,Conteneur principal identifié,Badge/champ explicite: FORMALISEE,216000,,,source_explicite,moyen,Procédure formalisée déclarée mais sans preuve explicite de publication JOUE,FORMALISEE_SANS_PREUVE_JOUE - procédure formalisée déclarée mais sans preuve explicite de publication joue,
3/boamp/2644226,etat,formalisee,FORMALISEE_SANS_PREUVE_JOUE,services,140000,FRANCE_MARCHES,48.0,,Corrèze (19),72500000,72500000,prestations_intellectuelles,False,,,EXPLICITE,non,,marches_ordinaires,Aucun marqueur défense/sécurité détecté,type_marche='services'; CCAG prestations/services; titre contient 'prestation',non,,Procédure formalisée explicitement qualifiée.,FORMALISEE_SANS_PREUVE_JOUE,FORMALISEE_SANS_PREUVE_JOUE,canonical,NON_AUDITE,inconnu,inconnu,,Fichier non audité individuellement,Badge/champ explicite: FORMALISEE,216000,2000000,9.26,source_explicite,moyen,Procédure formalisée déclarée mais sans preuve explicite de publication JOUE,FORMALISEE_SANS_PREUVE_JOUE - procédure formalisée déclarée mais sans preuve explicite de publication joue,
3/boamp/2644837,etat,formalisee,FORMALISEE_SANS_PREUVE_JOUE,services,140000,FRANCE_MARCHES,48.0,0 reconduction(s),Loiret,72610000,72610000,,True,ccag_type_manquant | fonction_publique_inconnue,,EXPLICITE,non,,marches_ordinaires,Aucun marqueur défense/sécurité détecté,type_marche='services'; titre contient 'tma',non,,Procédure formalisée explicitement qualifiée.,FORMALISEE_SANS_PREUVE_JOUE,FORMALISEE_SANS_PREUVE_JOUE,canonical,PROPRE_AVEC_RISQUE_STRUCTUREL,non,faible,avis_similaires,Extraction isolée,Badge/champ explicite: FORMALISEE,216000,,,source_explicite,moyen,Procédure formalisée déclarée mais sans preuve explicite de publication JOUE,FORMALISEE_SANS_PREUVE_JOUE - procédure formalisée déclarée mais sans preuve explicite de publication joue,
A2026-018,etat,inconnu,INDETERMINE,fournitures,140000,PLACE_NUMERIC,,,(69) Rhône,72260000,72260000|23405819,,True,ccag_type_manquant,,ABSENTE,non,,marches_ordinaires,Aucun marqueur défense/sécurité détecté,titre contient 'fourniture',non,,Aucune preuve de procédure détectée.,INDETERMINE,INDETERMINE,fallback_place,PROPRE,non,faible,,Aucune zone annexe présente,Champ procedure_type vide ou non renseigné,216000,,,indetermine,faible,"Procédure source inconnue, aucune preuve de formalisation","INDETERMINE - procédure source inconnue, aucune preuve de formalisation",
AOO_2026-02,etat,inconnu,INDETERMINE,services,140000,PLACE_NUMERIC,,,"(85) Vendée, (17) Charente-Maritime, (79) Deux-Sèvres",71241000,71241000|48810000|72222000|62611154,prestations_intellectuelles,False,,,ABSENTE,non,,marches_ordinaires,Aucun marqueur défense/sécurité détecté,type_marche='services'; CCAG prestations/services; titre contient 'ouvrage'; titre contient 'assistance',non,,Aucune preuve de procédure détectée.,INDETERMINE,INDETERMINE,fallback_place,PROPRE,non,faible,,Pas de contamination possible,Champ procedure_type vide ou non renseigné,140000,,,indetermine,faible,"Procédure source inconnue, aucune preuve de formalisation","INDETERMINE - procédure source inconnue, aucune preuve de formalisation",
B26-01107-LS,etat,inconnu,INDETERMINE,services,140000,PLACE_NUMERIC,,,(38) Isère,72250000,72250000|47187902,tic,False,,,ABSENTE,non,,marches_ordinaires,Aucun marqueur défense/sécurité détecté,type_marche='services'; CCAG prestations/services; titre contient 'logiciel'; titre contient 'prestation',non,,Aucune preuve de procédure détectée.,INDETERMINE,INDETERMINE,fallback_place,PROPRE,non,faible,,Conteneur principal unique,Champ procedure_type vide ou non renseigné,216000,,,indetermine,faible,"Procédure source inconnue, aucune preuve de formalisation","INDETERMINE - procédure source inconnue, aucune preuve de formalisation",
DAF_2025_001001,etat,MAPA,INDETERMINE,services,,-,,,Val-de-Marne,26052026,26052026|72220000,tic,False,,,EXPLICITE,non,,defense_securite,Marqueur explicite: 'ministère des armées',type_marche='services'; CCAG prestations/services; titre contient 'prestation',non,,Régime défense/sécurité ; procédure insuffisamment décrite.,INDETERMINE,INDETERMINE,source_url,NON_AUDITE,inconnu,inconnu,,Fichier non audité individuellement,Badge/champ explicite: MAPA,443000,18020000,40.68,seuil,moyen,La procédure source MAPA a été lue mais rejetée comme qualification finale car incohérente avec le montant et le régime apparent du marché,FORMALISEE_REQUISE - la procédure source mapa a été lue mais rejetée comme qualification finale car incohérente avec le montant et le régime apparent du marché,Badge « Procédure adaptée » conservé comme trace source. La procédure exacte de droit spécial n'est pas déduite ici.
DGFIP-DRS-2500077,etat,formalisee,FORMALISEE_SANS_PREUVE_JOUE,services,140000,BOAMP_XML,48.0,,Montreuil (93186),72220000,72220000,,True,ccag_type_manquant | url_marche_manquante,,EXPLICITE,non,,marches_ordinaires,Aucun marqueur défense/sécurité détecté,type_marche='services'; titre contient 'assistance',non,,Procédure formalisée explicitement qualifiée.,FORMALISEE_SANS_PREUVE_JOUE,FORMALISEE_SANS_PREUVE_JOUE,missing,PROPRE_AVEC_RISQUE_STRUCTUREL,non,faible,avis_similaires,Structure BOAMP - conteneur main isolé,Badge/champ explicite: FORMALISEE,140000,400000,2.86,source_explicite,moyen,Procédure formalisée déclarée mais sans preuve explicite de publication JOUE,FORMALISEE_SANS_PREUVE_JOUE - procédure formalisée déclarée mais sans preuve explicite de publication joue,
MO-9589316,etat,MAPA,MAPA_SOUS_SEUIL,services,140000,MARCHES_ONLINE,,,13 - MARSEILLE,72500000,72500000|15323409|00590169|00650699,tic,True,fonction_publique_inconnue,,EXPLICITE,non,,marches_ordinaires,Aucun marqueur défense/sécurité détecté,type_marche='services'; CCAG prestations/services; titre contient 'infogérance',non,,Procédure explicitement qualifiée MAPA dans procedure_type.,MAPA_SOUS_SEUIL,MAPA_SOUS_SEUIL,canonical,PROPRE_AVEC_RISQUE_STRUCTUREL,non,moyen,"avis_similaires,recommandations,meme_domaine",Sélecteurs ciblent #print_area_* - extraction isolée correctement,Badge/champ explicite: MAPA,216000,,,source_explicite,fort,Procédure source MAPA cohérente avec le montant et le seuil applicable,MAPA_SOUS_SEUIL - procédure source mapa cohérente avec le montant et le seuil applicable,
MO-9591946,etat,MAPA,INDETERMINE,services,,MARCHES_ONLINE,66.0,,94 - MINISTERE DES ARMEES,72220000,72220000|15326176|00590169|00650699,tic,False,,,EXPLICITE,non,,defense_securite,Marqueur explicite: 'dirisi',type_marche='services'; CCAG prestations/services; titre contient 'prestation',non,,Régime défense/sécurité ; procédure insuffisamment décrite.,INDETERMINE,INDETERMINE,canonical,PROPRE_AVEC_RISQUE_STRUCTUREL,non,moyen,"avis_similaires,recommandations,meme_domaine,lien_similaires,alerte_similaires",Date limite utilise regex globale - recommandé: scoper à #print_area_info,Badge/champ explicite: MAPA,443000,18025000,40.69,seuil,moyen,La procédure source MAPA a été lue mais rejetée comme qualification finale car incohérente avec le montant et le régime apparent du marché,FORMALISEE_REQUISE - la procédure source mapa a été lue mais rejetée comme qualification finale car incohérente avec le montant et le régime apparent du marché,Badge « Procédure adaptée » conservé comme trace source. La procédure exacte de droit spécial n'est pas déduite ici.
